,slot,time,states_ch_0,backoff_ch_0,npca_enabled_ch_0,channel_0_occupied_remained,channel_0_obss_occupied_remained,states_ch_1,backoff_ch_1,npca_enabled_ch_1,channel_1_occupied_remained,channel_1_obss_occupied_remained,util_ch_0,util_ch_1
38,38,342,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",30,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",3,0,True,True
39,39,351,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",29,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",2,0,True,True
40,40,360,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",28,0,"['primary_frozen', 'primary_tx']","[0, 0]","[True, True]",1,0,True,True
41,41,369,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",27,0,"['primary_backoff', 'primary_backoff']","[0, 6]","[True, True]",0,0,True,False
42,42,378,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",26,0,"['primary_tx', 'primary_backoff']","[0, 5]","[True, True]",33,0,True,True
43,43,387,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",25,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",32,0,True,True
44,44,396,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",24,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",31,0,True,True
45,45,405,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",23,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",30,0,True,True
46,46,414,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",22,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",29,0,True,True
47,47,423,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",21,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",28,0,True,True
48,48,432,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",20,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",27,0,True,True
49,49,441,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",19,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",26,0,True,True
50,50,450,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",18,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",25,0,True,True
51,51,459,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",17,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",24,0,True,True
52,52,468,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",16,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",23,0,True,True
53,53,477,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",15,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",22,0,True,True
54,54,486,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",14,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",21,0,True,True
55,55,495,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",13,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",20,0,True,True
56,56,504,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",12,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",19,0,True,True
57,57,513,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",11,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",18,0,True,True
58,58,522,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",10,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",17,0,True,True
59,59,531,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",9,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",16,0,True,True
60,60,540,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",8,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",15,0,True,True
61,61,549,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",7,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",14,0,True,True
62,62,558,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",6,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",13,0,True,True
63,63,567,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",5,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",12,0,True,True
64,64,576,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",4,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",11,0,True,True
65,65,585,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",3,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",10,0,True,True
66,66,594,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",2,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",9,0,True,True
67,67,603,"['primary_frozen', 'primary_tx']","[1, 0]","[False, False]",1,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",8,0,True,True
68,68,612,"['primary_backoff', 'primary_backoff']","[1, 13]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",7,0,False,True
69,69,621,"['primary_backoff', 'primary_backoff']","[0, 12]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",6,0,False,True
70,70,630,"['primary_tx', 'primary_backoff']","[0, 11]","[False, False]",33,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",5,0,True,True
71,71,639,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",32,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",4,0,True,True
72,72,648,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",31,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",3,0,True,True
73,73,657,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",30,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",2,0,True,True
74,74,666,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",29,0,"['primary_tx', 'primary_frozen']","[0, 5]","[True, True]",1,0,True,True
75,75,675,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",28,0,"['primary_backoff', 'primary_backoff']","[7, 5]","[True, True]",0,0,True,False
76,76,684,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",27,0,"['primary_backoff', 'primary_backoff']","[6, 4]","[True, True]",0,0,True,False
77,77,693,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",26,0,"['primary_backoff', 'primary_backoff']","[5, 3]","[True, True]",0,0,True,False
78,78,702,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",25,0,"['primary_backoff', 'primary_backoff']","[4, 2]","[True, True]",0,0,True,False
79,79,711,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",24,0,"['primary_backoff', 'primary_backoff']","[3, 1]","[True, True]",0,0,True,False
80,80,720,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",23,0,"['primary_backoff', 'primary_backoff']","[2, 0]","[True, True]",0,0,True,False
81,81,729,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",22,0,"['primary_backoff', 'primary_tx']","[1, 0]","[True, True]",33,0,True,True
82,82,738,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",21,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",32,0,True,True
83,83,747,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",20,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",31,0,True,True
84,84,756,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",19,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",30,0,True,True
85,85,765,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",18,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",29,0,True,True
86,86,774,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",17,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",28,0,True,True
87,87,783,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",16,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",27,0,True,True
88,88,792,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",15,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",26,0,True,True
89,89,801,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",14,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",25,0,True,True
90,90,810,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",13,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",24,0,True,True
91,91,819,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",12,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",23,0,True,True
92,92,828,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",11,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",22,0,True,True
93,93,837,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",10,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",21,0,True,True
94,94,846,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",9,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",20,0,True,True
95,95,855,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",8,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",19,0,True,True
96,96,864,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",7,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",18,0,True,True
97,97,873,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",6,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",17,0,True,True
98,98,882,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",5,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",16,0,True,True
99,99,891,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",4,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",15,0,True,True
100,100,900,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",3,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",14,0,True,True
101,101,909,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",2,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",13,0,True,True
102,102,918,"['primary_tx', 'primary_frozen']","[0, 11]","[False, False]",1,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",12,0,True,True
103,103,927,"['primary_backoff', 'primary_backoff']","[6, 11]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",11,0,False,True
104,104,936,"['primary_backoff', 'primary_backoff']","[5, 10]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",10,0,False,True
105,105,945,"['primary_backoff', 'primary_backoff']","[4, 9]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",9,0,False,True
106,106,954,"['primary_backoff', 'primary_backoff']","[3, 8]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",8,0,False,True
107,107,963,"['primary_backoff', 'primary_backoff']","[2, 7]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",7,0,False,True
108,108,972,"['primary_backoff', 'primary_backoff']","[1, 6]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",6,0,False,True
109,109,981,"['primary_backoff', 'primary_backoff']","[0, 5]","[False, False]",0,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",5,0,False,True
110,110,990,"['primary_tx', 'primary_backoff']","[0, 4]","[False, False]",33,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",4,0,True,True
111,111,999,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",32,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",3,0,True,True
112,112,1008,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",31,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",2,0,True,True
113,113,1017,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",30,0,"['primary_frozen', 'primary_tx']","[1, 0]","[True, True]",1,0,True,True
114,114,1026,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",29,0,"['primary_backoff', 'primary_backoff']","[1, 10]","[True, True]",0,0,True,False
115,115,1035,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",28,0,"['primary_backoff', 'primary_backoff']","[0, 9]","[True, True]",0,0,True,False
116,116,1044,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",27,0,"['primary_tx', 'primary_backoff']","[0, 8]","[True, True]",33,0,True,True
117,117,1053,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",26,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",32,0,True,True
118,118,1062,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",25,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",31,0,True,True
119,119,1071,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",24,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",30,0,True,True
120,120,1080,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",23,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",29,0,True,True
121,121,1089,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",22,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",28,0,True,True
122,122,1098,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",21,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",27,0,True,True
123,123,1107,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",20,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",26,0,True,True
124,124,1116,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",19,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",25,0,True,True
125,125,1125,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",18,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",24,0,True,True
126,126,1134,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",17,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",23,0,True,True
127,127,1143,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",16,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",22,0,True,True
128,128,1152,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",15,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",21,0,True,True
129,129,1161,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",14,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",20,0,True,True
130,130,1170,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",13,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",19,0,True,True
131,131,1179,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",12,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",18,0,True,True
132,132,1188,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",11,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",17,0,True,True
133,133,1197,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",10,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",16,0,True,True
134,134,1206,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",9,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",15,0,True,True
135,135,1215,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",8,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",14,0,True,True
136,136,1224,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",7,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",13,0,True,True
137,137,1233,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",6,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",12,0,True,True
138,138,1242,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",5,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",11,0,True,True
139,139,1251,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",4,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",10,0,True,True
140,140,1260,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",3,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",9,0,True,True
141,141,1269,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",2,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",8,0,True,True
142,142,1278,"['primary_tx', 'primary_frozen']","[0, 4]","[False, False]",1,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",7,0,True,True
143,143,1287,"['primary_backoff', 'primary_backoff']","[11, 4]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",6,0,False,True
144,144,1296,"['primary_backoff', 'primary_backoff']","[10, 3]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",5,0,False,True
145,145,1305,"['primary_backoff', 'primary_backoff']","[9, 2]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",4,0,False,True
146,146,1314,"['primary_backoff', 'primary_backoff']","[8, 1]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",3,0,False,True
147,147,1323,"['primary_backoff', 'primary_backoff']","[7, 0]","[False, False]",0,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",2,0,False,True
148,148,1332,"['primary_backoff', 'primary_tx']","[6, 0]","[False, False]",33,0,"['primary_tx', 'primary_frozen']","[0, 8]","[True, True]",1,0,True,True
149,149,1341,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",32,0,"['primary_backoff', 'primary_backoff']","[8, 8]","[True, True]",0,0,True,False
150,150,1350,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",31,0,"['primary_backoff', 'primary_backoff']","[7, 7]","[True, True]",0,0,True,False
151,151,1359,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",30,0,"['primary_backoff', 'primary_backoff']","[6, 6]","[True, True]",0,0,True,False
152,152,1368,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",29,0,"['primary_backoff', 'primary_backoff']","[5, 5]","[True, True]",0,0,True,False
153,153,1377,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",28,0,"['primary_backoff', 'primary_backoff']","[4, 4]","[True, True]",0,0,True,False
154,154,1386,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",27,0,"['primary_backoff', 'primary_backoff']","[3, 3]","[True, True]",0,0,True,False
155,155,1395,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",26,0,"['primary_backoff', 'primary_backoff']","[2, 2]","[True, True]",0,0,True,False
156,156,1404,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",25,0,"['primary_backoff', 'primary_backoff']","[1, 1]","[True, True]",0,0,True,False
157,157,1413,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",24,0,"['primary_backoff', 'primary_backoff']","[0, 0]","[True, True]",0,0,True,False
158,158,1422,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",23,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",33,0,True,False
159,159,1431,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",22,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",32,0,True,False
160,160,1440,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",21,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",31,0,True,False
161,161,1449,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",20,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",30,0,True,False
162,162,1458,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",19,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",29,0,True,False
163,163,1467,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",18,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",28,0,True,False
164,164,1476,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",17,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",27,0,True,False
165,165,1485,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",16,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",26,0,True,False
166,166,1494,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",15,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",25,0,True,False
167,167,1503,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",14,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",24,0,True,False
168,168,1512,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",13,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",23,0,True,False
169,169,1521,"['primary_frozen', 'primary_tx']","[6, 0]","[False, False]",12,0,"['primary_tx', 'primary_tx']","[0, 0]","[True, True]",22,0,True,False
